TIMING RESULTS
Grid Type,Time (ms),Total Points
Fixed Grid,0.0105,1089
HAG Grid,0.0482,907
RD(V2) Grid,0.7027,905

RECONSTRUCTION RESULTS
Grid Type,Points,RMSE,Mean Error,Max Error,PSNR (dB),Time (ms)
Fixed Grid,1089,0.0849422,0.0247894,1.52756,89.4476,16040.4
HAG Grid,907,0.0784034,0.0284901,1.27037,90.1434,13484.5
RD(V2) Grid,905,0.0659413,0.0264623,0.867355,91.6469,14281.8

COMPRESSION RESULTS
Grid Type,Points,Original Size (KB),Grid Size (KB),Compression Ratio
Fixed Grid,1089,7200,17.0156,423.14
HAG Grid,907,7200,14.1719,508.049
RD(V2) Grid,905,7200,14.1406,509.171
